0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0j,0j,0j,0j,0j,0j,0j,0j,(-0.3362907232592803+12.26730073106679j),(-0.33139328554191205+12.088650720420185j),(6.341601150009853+870.9803000067137j),0j,(-2.6487535660473216+20.668962253090577j),(-3.0398558883134434+23.530736320648504j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.3362907232592803+12.26730073106679j),(-0.33139328554191205+12.088650720420185j),0j,(4.609028516241327+1459.8268780701817j),(-2.6487535660473216+20.668962253090577j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.3072832545449178+10.18415825718057j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.6487535660473216+20.668962253090577j),(-2.6487535660473216+20.668962253090577j),(6.756984928309468+1855.2886674422348j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.4594777962148244+11.373408051583992j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.0398558883134434+23.530736320648504j),0j,0j,(6.290387350207462+799.680128905816j),0j,(-3.250531461894019+25.28913477353547j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(14.842818123202159+1641.5118696590555j),(-7.233748725873806+56.88356952618947j),0j,0j,0j,0j,(-5.162474546132445+40.15257980325235j),0j,0j,(-2.44659485119591+18.951981011502646j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.250531461894019+25.28913477353547j),(-7.233748725873806+56.88356952618947j),(20.853952129924018+943.2620304885211j),(-4.840839078773654+37.99325216370838j),0j,(-5.528832863382541+42.57201304804556j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.840839078773654+37.99325216370838j),(14.585681941339672+1414.287571798875j),(-8.547008547008547+68.37606837606837j),0j,0j,0j,(-1.1978343155574724+9.343107661348283j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-8.547008547008547+68.37606837606837j),(18.228686704555855+552.1374272965149j),0j,0j,(-9.681678157547308+75.98650432741675j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.528832863382541+42.57201304804556j),0j,0j,(11.927146719495756+983.2469617162518j),(-6.398313856113215+49.6810252357026j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-6.398313856113215+49.6810252357026j),(18.20269834177932+1147.2565801605874j),0j,0j,(-11.804384485666105+91.06239460370995j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.162474546132445+40.15257980325235j),0j,0j,(-9.681678157547308+75.98650432741675j),0j,0j,(16.706099015420932+2156.350575646796j),(-1.8619463117411768+14.510340222534689j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.1978343155574724+9.343107661348283j),0j,0j,0j,(-1.8619463117411768+14.510340222534689j),(3.0597806272986494+1794.146552116117j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.3072832545449178+10.18415825718057j),(-1.4594777962148244+11.373408051583992j),0j,0j,0j,0j,0j,0j,(-11.804384485666105+91.06239460370995j),0j,0j,(14.571145536425847+2266.3800390875253j),0j
0j,0j,(-0.33139328554191205+12.088650720420185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.44659485119591+18.951981011502646j),0j,0j,0j,0j,0j,0j,0j,0j,(2.773090699020454+514.6380182787237j)
